상호,운영시간,업종,도로명주소,지번주소,전화번호,위도,경도
태양상회,08:00~18:00,마트/식품,충청남도 천안시 동남구 병천면 아우내장터1길 30,충청남도 천안시 동남구 병천면 병천리 294-4,041-564-8793,36.76101606,127.2972284
병천이용원,07:00~18:00,생활서비스,충청남도 천안시 동남구 병천면 아우내장터1길 30,충청남도 천안시 동남구 병천면 병천리 294-4,041-564-0522,36.76108112,127.2972731
오토바이미장원,08:00~18:00,생활서비스,충청남도 천안시 동남구 병천면 아우내장터1길 30,충청남도 천안시 동남구 병천면 병천리 294-4,041-564-8282,36.76113404,127.2973071
현제종합사료,08:00~18:00,기타,충청남도 천안시 동남구 병천면 아우내장터1길 30,충청남도 천안시 동남구 병천면 병천리 294-4,041-564-8282,36.7611748,127.2973332
공실 1,공실,기타,충청남도 천안시 동남구 병천면 아우내장터1길 32,충청남도 천안시 동남구 병천면 병천리 293-5,,36.76131134,127.2974213
공실 2,폐업,기타,충청남도 천안시 동남구 병천면 아우내장터1길 32,충청남도 천안시 동남구 병천면 병천리 293-5,,36.76134826,127.2974466
공실 3,폐업,기타,충청남도 천안시 동남구 병천면 아우내장터1길 38,충청남도 천안시 동남구 병천면 병천리 164-2,,36.76185497,127.2977454
공실 4,폐업,기타,충청남도 천안시 동남구 병천면 아우내장터1길 38,충청남도 천안시 동남구 병천면 병천리 164-2,,36.76189538,127.297774
병천슈퍼,07:00~19:30,마트/식품,충청남도 천안시 동남구 병천면 아우내장터1길 36,충청남도 천안시 동남구 병천면 병천리 293-9,041-564-1207,36.76153994,127.2975783
태평전기,08:00~18:00,전기/가전,충청남도 천안시 동남구 병천면 아우내장터1길 38,충청남도 천안시 동남구 병천면 병천리 164-2,041-564-3339,36.76179136,127.2977245
규수방,08:00~18:00,의류/잡화,충청남도 천안시 동남구 병천면 아우내장터1길 38,충청남도 천안시 동남구 병천면 병천리 164-2,,36.76188066,127.2978069
공실 5,공실,기타,충청남도 천안시 동남구 병천면 아우내장터1길 38,충청남도 천안시 동남구 병천면 병천리 164-2,,36.76200527,127.2978473
공실 6,폐업,기타,충청남도 천안시 동남구 병천면 아우내장터1길 46,충청남도 천안시 동남구 병천면 병천리 163-2,,36.76240163,127.2981648
공실 7,공실,기타,충청남도 천안시 동남구 병천면 아우내장터1길 46,충청남도 천안시 동남구 병천면 병천리 163-2,,36.7624168,127.2981307
전국부동산,미영업,생활서비스,충청남도 천안시 동남구 병천면 아우내장터1길 38,충청남도 천안시 동남구 병천면 병천리 164-2,041-554-4986,36.76193368,127.2978216
바닐라,10:00~18:30,의류/잡화,충청남도 천안시 동남구 병천면 아우내장터1길 38,충청남도 천안시 동남구 병천면 병천리 164-2,041-568-3368,36.76198014,127.2978302
중앙철물,08:00~17:00,기타,충청남도 천안시 동남구 병천면 아우내장터1길 38,충청남도 천안시 동남구 병천면 병천리 164-2,041-564-1243,36.76198985,127.2978804
성남상회,09:00~17:00,의류/잡화,충청남도 천안시 동남구 병천면 아우내장터1길 38,충청남도 천안시 동남구 병천면 병천리 163-2,,36.76202983,127.2978644
공실 8,폐업,기타,충청남도 천안시 동남구 병천면 아우내장터1길 46,충청남도 천안시 동남구 병천면 병천리 163-2,,36.76247771,127.2981716
G&G,10:00~17:00,의류/잡화,충청남도 천안시 동남구 병천면 아우내장터1길 42,충청남도 천안시 동남구 병천면 병천리 163-2,,36.76209112,127.2979287
병천포목상회,08:00~18:00,침구/주단,충청남도 천안시 동남구 병천면 아우내장터1길 42,충청남도 천안시 동남구 병천면 병천리 163-2,041-564-1133,36.76214564,127.2979668
동광전기,07:00~19:00,생활용품,충청남도 천안시 동남구 병천면 아우내장터1길 42,충청남도 천안시 동남구 병천면 병천리 163-2,041-563-1074,36.76219384,127.2980009
동광낚시주방생활용품,07:00~19:00,생활용품,충청남도 천안시 동남구 병천면 아우내장터1길 46,충청남도 천안시 동남구 병천면 병천리 163-2,041-564-1072,36.76227724,127.2980598
범호사,10:00~17:00,전기/가전,충청남도 천안시 동남구 병천면 아우내장터1길 46,충청남도 천안시 동남구 병천면 병천리 163-2,041-564-1507,36.76232868,127.2980942
동면신발,08:30~14:00,의류/잡화,충청남도 천안시 동남구 병천면 아우내장터1길 46,충청남도 천안시 동남구 병천면 병천리 163-2,,36.76236136,127.298116
공실 9,폐업,기타,충청남도 천안시 동남구 병천면 아우내장터1길 46,충청남도 천안시 동남구 병천면 병천리 157-11,,36.76251764,127.2982458
공실 10,공실,기타,충청남도 천안시 동남구 병천면 아우내장터1길 32,충청남도 천안시 동남구 병천면 병천리 293-5,,36.7612263,127.2973666
평화상회,09:00~15:00,마트/식품,충청남도 천안시 동남구 병천면 아우내장터1길 46,충청남도 천안시 동남구 병천면 병천리 157-11,041-564-0154,36.76246357,127.2982059
공실 11,공실,기타,충청남도 천안시 동남구 병천면 아우내장터1길 32,충청남도 천안시 동남구 병천면 병천리 293-5,,36.76126562,127.2973926
공실 12,공실,기타,충청남도 천안시 동남구 병천면 아우내장터1길 38,충청남도 천안시 동남구 병천면 병천리 164-2,,36.7618396,127.2977777
동화상회,미영업,기타,충청남도 천안시 동남구 병천면 아우내장터1길 46,충청남도 천안시 동남구 병천면 병천리 163-2,041-564-1283,36.76253395,127.2982115
대동지업사,07:30~18:30,기타,충청남도 천안시 동남구 병천면 아우내장터1길 46,충청남도 천안시 동남구 병천면 병천리 157-11,041-564-1061,36.7625732,127.2982641
명칼라사진관,09:00~18:00,생활서비스,충청남도 천안시 동남구 병천면 병천2로 5-1,충청남도 천안시 동남구 병천면 병천리 158-2,041-564-1492,36.76308417,127.2986356
중앙닭집,미영업,식당/음식,충청남도 천안시 동남구 병천면 병천2로 5-1,충청남도 천안시 동남구 병천면 병천리 158-2,041-564-1138,36.76312038,127.2986727
파랑새머리방,09:00~18:00,생활서비스,충청남도 천안시 동남구 병천면 병천2로 7,충청남도 천안시 동남구 병천면 병천리 152-5,,36.7631393,127.2986924
공실 13,공실,기타,충청남도 천안시 동남구 병천면 병천2로 7,충청남도 천안시 동남구 병천면 병천리 152-5,,36.76315354,127.2987123
아우내팬시,08:20~13:30,기타,충청남도 천안시 동남구 병천면 병천2로 7,충청남도 천안시 동남구 병천면 병천리 152-5,041-556-9291,36.76319759,127.2987678
